457  0.7  0.66  5.01  -6.45  
457  0.7  0.64  5.24  4.4  
457  0.7  0.66  0.69  -10.22  
457  0.7  0.66  7.42  10.45  
457  0.7  0.66  1.54  2.73  
241  0.7  0.66  -9.84  -2.42  
241  0.7  0.66  -5.85  7.41  
133  0.7  0.66  11.05  -3.4  
457  0.7  0.66  3.53  -5.18  
457  0.7  0.66  2.36  -3.82  
457  0.7  0.65  -1.15  -1.37  
457  0.7  0.66  -4.07  11.22  
133  0.7  0.66  -8.22  2.56  
133  0.7  0.66  6.84  -3.88  
457  0.7  0.66  6.92  -10.13  
133  0.7  0.66  9.66  -6.4  
457  0.7  0.66  -9.43  -0.0  
241  0.7  0.66  -2.6  0.45  
457  0.7  0.66  -8.9  -8.9  
133  0.7  0.66  -4.25  -3.35  
133  0.7  0.66  -3.47  -2.86  
133  0.7  0.66  -9.27  -10.08  
241  0.7  0.66  2.66  4.86  
133  0.7  0.66  -1.11  6.47  
241  0.7  0.66  6.14  5.4  
133  0.7  0.66  -1.92  -9.45  
241  0.7  0.66  10.91  7.12  
241  0.7  0.66  3.12  -10.16  
457  0.7  0.66  7.09  -5.07  
457  0.7  0.61  7.69  9.79  
457  0.7  0.66  8.95  2.4  
457  0.7  0.66  2.1  7.94  
241  0.7  0.66  3.25  4.29  
241  0.7  0.66  -3.01  10.49  
241  0.7  0.66  -4.61  9.19  
133  0.7  0.66  -0.89  -7.08  
457  0.7  0.66  -10.63  5.27  
241  0.7  0.66  -5.71  2.03  
457  0.7  0.66  1.1  -8.08  
457  0.7  0.66  6.82  -3.88  
241  0.71  0.66  -6.4  -6.93  
241  0.71  0.66  1.32  -0.71  
241  0.71  0.66  8.63  -6.41  
133  0.71  0.66  -4.95  -4.69  
457  0.71  0.66  4.22  -2.92  
133  0.71  0.66  4.49  -4.0  
241  0.71  0.61  0.84  2.67  
457  0.71  0.66  -7.14  -7.99  
133  0.71  0.66  6.65  -4.75  
133  0.71  0.66  6.55  -0.9  
457  0.71  0.66  9.74  -3.31  
241  0.71  0.66  -5.02  9.54  
457  0.71  0.66  -11.37  -1.41  
457  0.71  0.66  2.64  -10.2  
133  0.71  0.66  2.85  -9.13  
